iteration,score,best_score,elapsed_sec,params_json
21,-0.40944568433921813,-0.6215060626539917,12451.8005,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.419583375146, ""learning_rate"": 0.000470925807, ""new_fc_1"": 29, ""new_fc_10"": 17, ""new_fc_2"": 7, ""new_fc_3"": 3, ""new_fc_4"": 1, ""new_fc_5"": 13, ""new_fc_6"": 4, ""new_fc_7"": 16, ""new_fc_8"": 3, ""new_fc_9"": 32, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 2}"
22,-0.7533450936417694,-0.7533450936417694,12659.0856,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.037743523538, ""learning_rate"": 0.000286985271, ""new_fc_1"": 25, ""new_fc_10"": 15, ""new_fc_2"": 19, ""new_fc_3"": 2, ""new_fc_4"": 9, ""new_fc_5"": 6, ""new_fc_6"": 8, ""new_fc_7"": 20, ""new_fc_8"": 0, ""new_fc_9"": 32, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 3}"
23,-0.7554946109481812,-0.7554946109481812,12926.7818,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.145923820625, ""learning_rate"": 0.000488313778, ""new_fc_1"": 15, ""new_fc_10"": 2, ""new_fc_2"": 14, ""new_fc_3"": 3, ""new_fc_4"": 16, ""new_fc_5"": 9, ""new_fc_6"": 0, ""new_fc_7"": 2, ""new_fc_8"": 3, ""new_fc_9"": 10, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 4}"
24,-0.6900175490176543,-0.7554946109481812,14874.335,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.167903887506, ""learning_rate"": 0.000183640242, ""new_fc_1"": 23, ""new_fc_10"": 25, ""new_fc_2"": 0, ""new_fc_3"": 2, ""new_fc_4"": 28, ""new_fc_5"": 15, ""new_fc_6"": 21, ""new_fc_7"": 20, ""new_fc_8"": 31, ""new_fc_9"": 16, ""num_neurons"": 4, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
25,-0.4866481283112717,-0.7554946109481812,15261.5886,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.479182828127, ""learning_rate"": 0.000149148116, ""new_fc_1"": 10, ""new_fc_10"": 8, ""new_fc_2"": 5, ""new_fc_3"": 9, ""new_fc_4"": 1, ""new_fc_5"": 12, ""new_fc_6"": 7, ""new_fc_7"": 23, ""new_fc_8"": 31, ""new_fc_9"": 11, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 6}"
26,-0.7593554221866912,-0.7593554221866912,931.2287,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.082300008717, ""learning_rate"": 0.00050358382, ""new_fc_1"": 23, ""new_fc_10"": 14, ""new_fc_2"": 9, ""new_fc_3"": 3, ""new_fc_4"": 7, ""new_fc_5"": 4, ""new_fc_6"": 3, ""new_fc_7"": 22, ""new_fc_8"": 6, ""new_fc_9"": 1, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 7}"
27,-0.6647705691566009,-0.7593554221866912,1498.6723,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.234109213616, ""learning_rate"": 0.000793822067, ""new_fc_1"": 32, ""new_fc_10"": 3, ""new_fc_2"": 4, ""new_fc_3"": 29, ""new_fc_4"": 13, ""new_fc_5"": 12, ""new_fc_6"": 28, ""new_fc_7"": 3, ""new_fc_8"": 32, ""new_fc_9"": 8, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 3}"
28,-0.44181450865631483,-0.7593554221866912,1705.7697,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.438818846066, ""learning_rate"": 0.000288912042, ""new_fc_1"": 16, ""new_fc_10"": 4, ""new_fc_2"": 9, ""new_fc_3"": 7, ""new_fc_4"": 12, ""new_fc_5"": 0, ""new_fc_6"": 28, ""new_fc_7"": 2, ""new_fc_8"": 21, ""new_fc_9"": 28, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 1}"
29,-0.5015958261253662,-0.7593554221866912,2813.8074,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.110855910859, ""learning_rate"": 0.000381505851, ""new_fc_1"": 19, ""new_fc_10"": 18, ""new_fc_2"": 4, ""new_fc_3"": 9, ""new_fc_4"": 1, ""new_fc_5"": 28, ""new_fc_6"": 24, ""new_fc_7"": 4, ""new_fc_8"": 14, ""new_fc_9"": 25, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 4}"
30,-0.7474461086062469,-0.7593554221866912,3021.2448,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.057492519603, ""learning_rate"": 0.000798095486, ""new_fc_1"": 22, ""new_fc_10"": 3, ""new_fc_2"": 10, ""new_fc_3"": 11, ""new_fc_4"": 13, ""new_fc_5"": 7, ""new_fc_6"": 32, ""new_fc_7"": 18, ""new_fc_8"": 24, ""new_fc_9"": 20, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 6}"
