event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
23,13,flops,,,0.00791336,1187004.0,106582.0,,7060.253,"{""activation"": ""relu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.089947111947, ""learning_rate"": 0.000478438482, ""new_fc_1"": 25, ""new_fc_10"": 31, ""new_fc_2"": 32, ""new_fc_3"": 18, ""new_fc_4"": 22, ""new_fc_5"": 3, ""new_fc_6"": 30, ""new_fc_7"": 27, ""new_fc_8"": 9, ""new_fc_9"": 7, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
24,14,accuracy,10000000000.0,,1.59325864,238988796.0,10359786.0,10000000000.0,7061.2901,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.099689416991, ""learning_rate"": 0.00032205476, ""new_fc_1"": 16, ""new_fc_10"": 28, ""new_fc_2"": 10, ""new_fc_3"": 12, ""new_fc_4"": 2, ""new_fc_5"": 17, ""new_fc_6"": 28, ""new_fc_7"": 27, ""new_fc_8"": 25, ""new_fc_9"": 25, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 6}"
25,14,flops,,,0.30365746666666665,45548620.0,1883642.0,,7062.1118,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.103703376882, ""learning_rate"": 0.000389925033, ""new_fc_1"": 15, ""new_fc_10"": 5, ""new_fc_2"": 27, ""new_fc_3"": 32, ""new_fc_4"": 7, ""new_fc_5"": 24, ""new_fc_6"": 2, ""new_fc_7"": 20, ""new_fc_8"": 24, ""new_fc_9"": 1, ""num_neurons"": 16, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 5}"
26,14,flops,,,0.0424084,6361260.0,235734.0,,7062.9847,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.485575165548, ""learning_rate"": 0.000418811018, ""new_fc_1"": 24, ""new_fc_10"": 3, ""new_fc_2"": 2, ""new_fc_3"": 22, ""new_fc_4"": 16, ""new_fc_5"": 15, ""new_fc_6"": 30, ""new_fc_7"": 5, ""new_fc_8"": 18, ""new_fc_9"": 17, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 8}"
27,14,flops,,,0.028925706666666665,4338856.0,48122.0,,7063.8029,"{""activation"": ""relu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.293859471322, ""learning_rate"": 0.000710320883, ""new_fc_1"": 9, ""new_fc_10"": 14, ""new_fc_2"": 0, ""new_fc_3"": 24, ""new_fc_4"": 9, ""new_fc_5"": 19, ""new_fc_6"": 11, ""new_fc_7"": 26, ""new_fc_8"": 11, ""new_fc_9"": 8, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 2}"
28,14,flops,,,0.6461755466666667,96926332.0,1674122.0,,7064.6521,"{""activation"": ""swish"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.224401492843, ""learning_rate"": 0.000448414006, ""new_fc_1"": 31, ""new_fc_10"": 14, ""new_fc_2"": 14, ""new_fc_3"": 11, ""new_fc_4"": 12, ""new_fc_5"": 24, ""new_fc_6"": 26, ""new_fc_7"": 14, ""new_fc_8"": 15, ""new_fc_9"": 3, ""num_neurons"": 16, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 2}"
29,14,flops,,,0.02607896,3911844.0,246586.0,,7065.4466,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.175131210402, ""learning_rate"": 0.000277060032, ""new_fc_1"": 17, ""new_fc_10"": 8, ""new_fc_2"": 2, ""new_fc_3"": 28, ""new_fc_4"": 2, ""new_fc_5"": 4, ""new_fc_6"": 21, ""new_fc_7"": 18, ""new_fc_8"": 22, ""new_fc_9"": 19, ""num_neurons"": 8, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
30,15,accuracy,0.5564999878406525,0.44350001215934753,0.02607896,3911844.0,246586.0,-0.6026263205115432,8949.6459,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.175131210402, ""learning_rate"": 0.000277060032, ""new_fc_1"": 17, ""new_fc_10"": 8, ""new_fc_2"": 2, ""new_fc_3"": 28, ""new_fc_4"": 2, ""new_fc_5"": 4, ""new_fc_6"": 21, ""new_fc_7"": 18, ""new_fc_8"": 22, ""new_fc_9"": 19, ""num_neurons"": 8, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
31,15,flops,,,4.160920506666667,624138076.0,9574378.0,,8950.6183,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.261850962019, ""learning_rate"": 0.000122010241, ""new_fc_1"": 17, ""new_fc_10"": 8, ""new_fc_2"": 23, ""new_fc_3"": 17, ""new_fc_4"": 26, ""new_fc_5"": 1, ""new_fc_6"": 15, ""new_fc_7"": 19, ""new_fc_8"": 24, ""new_fc_9"": 3, ""num_neurons"": 32, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 6}"
32,15,flops,,,0.02049664,3074496.0,122574.0,,8951.3621,"{""activation"": ""relu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.413885546127, ""learning_rate"": 0.000491756782, ""new_fc_1"": 12, ""new_fc_10"": 8, ""new_fc_2"": 29, ""new_fc_3"": 16, ""new_fc_4"": 26, ""new_fc_5"": 22, ""new_fc_6"": 29, ""new_fc_7"": 8, ""new_fc_8"": 17, ""new_fc_9"": 26, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 5}"
